Equipo,Tampa Bay Lightning,Dallas Stars,Colorado Avalanche,Montreal Canadiens,Nashville Predators,Winnipeg Jets,Ottawa Senators,Washington Capitals,Seattle Kraken,Los Angeles Kings,St. Louis Blues,Florida Panthers,Arizona Coyotes,Anaheim Ducks,Buffalo Sabres,Detroit Red Wings,New York Rangers,Columbus Blue Jackets,Carolina Hurricanes,Pittsburgh Penguins,New Jersey Devils,Vancouver Canucks,Edmonton Oilers,San Jose Sharks,Toronto Maple Leafs,Calgary Flames,Boston Bruins,Vegas Golden Knights,New York Islanders,Chicago Blackhawks,Philadelphia Flyers,Minnesota Wild
St. Louis Blues,1386.2764062572874,880.887291975421,1283.6678626287412,1569.6510911555765,408.55178825319456,1367.5784827152304,1393.1182842286203,1145.0903380913662,2776.3050501950206,2559.941740110506,0.0,1663.5347260036428,2059.9803095213424,2534.866432321105,1065.2806173344745,732.6288726329846,1408.1589785890758,638.2249326347518,1065.2547363893666,900.2506672337407,1393.061586497793,2864.9330253713565,2427.9629089455234,2774.791802422554,1064.6446314465481,2319.0146441067313,1670.8759725326743,2223.1563878666384,1430.3949407664936,420.44254480963406,1303.3212389228568,741.7998338049488
Florida Panthers,289.1189242142582,1756.9663219124848,2741.6113000307946,2228.772165750921,1267.2271557251818,3004.3065613907247,2159.643406925438,1446.218508205289,4362.247323484943,3737.555036744699,1663.5347260036428,0.0,3178.6309548351564,3700.0912281277865,1859.1506568668724,1812.3708867218418,1720.9297152823426,1551.825239284534,1080.208834614034,1584.2691239470835,1713.666670900101,4473.57025964288,4090.4137579463913,4093.0137879613203,1941.714475038733,3970.0372383851823,1987.0283633537733,3480.3902155814703,1725.5068367180118,1869.5417906877587,1597.5907603994945,2377.8422870011327
Arizona Coyotes,2910.4949587448637,1442.320672512136,946.2727044000671,3541.0326503186457,2341.997490031823,2200.956050219198,3355.2711766518973,3203.671296954558,1779.2517503236115,559.0217217635823,2059.9803095213424,3178.6309548351564,0.0,521.5987411007153,3078.5781705088525,2730.637584196069,3464.0147509586477,2694.9122046279676,3069.419108751794,2955.489683761146,3448.988591335241,1965.3451763885896,2225.885747071033,970.9660355114648,3052.2744108034785,1949.948991898019,3712.27790932727,390.5396286168905,3486.5610772246787,2347.0994669813194,3362.8871833091403,2074.673543779854
Anaheim Ducks,3432.060070822049,1961.8655586347431,1322.589647786037,3960.919193843471,2839.303057929851,2464.7483557988044,3775.216071704321,3679.4493339298238,1579.2855196739465,44.546036159475804,2534.866432321105,3700.0912281277865,521.5987411007153,0.0,3520.0904590483487,3173.6069367364084,3925.378736716516,3161.4846256381165,3565.8104167404567,3418.9662221488165,3910.503631456419,1771.6720207797418,2220.3177056296845,534.7353056540215,3485.6694904935202,1938.9282702496243,4160.628066957157,354.30735219287106,3948.1919719472266,2788.2338941636626,3830.900688828292,2452.309913278937
Buffalo Sabres,1687.832913469008,1928.5888341894663,2206.3698124915995,514.4953156023215,1007.8784489771489,1601.147610798306,358.02769779102397,468.48443659920207,3407.9455416913825,3539.6785282300066,1065.2806173344745,1859.1506568668724,3078.5781705088525,3520.0904590483487,0.0,347.9407423805903,469.263601778021,472.4639086051954,785.2320316879016,285.9381173304626,457.6008693651734,3443.2103807869853,2797.2995928855835,3678.9027304723463,94.60566089469356,2795.889112158392,643.354002447219,3185.753001847173,490.8083386814755,732.5790701062509,452.7894188151271,1163.9087589843048
Detroit Red Wings,1598.3472761266578,1608.7932693814791,1862.6745932959454,837.9429049620061,757.6381320321772,1371.2017784041482,660.4963467086401,637.5845352199252,3119.8712514112685,3193.618638938818,732.6288726329846,1812.3708867218418,2730.637584196069,3173.6069367364084,347.9407423805903,0.0,776.0192274524109,263.43065725489043,816.6337629745848,332.12123599606025,762.1549390446829,3167.3293348506054,2565.122319859799,3341.590294768024,332.8420732738622,2537.0086544845713,987.2926309549188,2840.784686262742,798.9349298178091,385.380665580704,714.9768873135924,859.9312026127335
New York Rangers,1617.9693926973066,2211.814265293087,2627.3251414310657,528.33662363576,1225.2335590606194,2067.743037200189,529.0399430662333,330.8319806565521,3876.005407293018,3947.585442726581,1408.1589785890758,1720.9297152823426,3464.0147509586477,3925.378736716516,469.263601778021,776.0192274524109,0.0,770.1120921371167,687.3069872559452,508.61849023944654,15.115049370239827,3912.406718273444,3261.9309235941014,4113.466573426649,548.5481940109207,3264.7038372740217,303.29010028009264,3599.7736363764166,23.015680870593076,1151.1268878344777,137.5735710477027,1625.4823704363705
Columbus Blue Jackets,1334.9900931897864,1469.9947838078745,1878.0170551139283,985.8633354661712,536.9581647686305,1564.0020803180614,828.4811249042834,528.7183866224657,3240.8864290481915,3184.854920102046,638.2249326347518,1551.825239284534,2694.9122046279676,3161.4846256381165,472.4639086051954,263.43065725489043,770.1120921371167,0.0,596.341770150736,262.0712241777751,755.0272628960975,3302.170854622805,2743.1066342324493,3371.6523532037936,507.2197353548538,2692.7931515689256,1036.1068760471878,2841.1029847056657,792.4405491156042,446.7457537383659,669.4407902382856,996.317404640617
Carolina Hurricanes,940.1501484572258,1695.8395541184113,2347.9264674663987,1160.578167246059,727.433990756865,2160.3438267211222,1080.2776168049525,375.06091583301486,3802.758830243067,3594.096024836128,1065.2547363893666,1080.208834614034,3069.419108751794,3565.8104167404567,785.2320316879016,816.6337629745848,687.3069872559452,596.341770150736,0.0,526.4643541621712,676.5891677713374,3873.959073628412,3336.8011800393674,3834.9367899932195,872.2887381071293,3278.4043647032167,984.0667493415671,3269.531093580955,698.3280331000674,1028.1451520163926,551.6690976415503,1583.7552784807249
Pittsburgh Penguins,1404.5359175093226,1723.3799247140566,2127.6902269686316,767.5409711729732,760.1367359923003,1702.6317673482647,633.3358657945306,306.8437859293708,3443.029155130643,3441.727677775538,900.2506672337407,1584.2691239470835,2955.489683761146,3418.9662221488165,285.9381173304626,332.12123599606025,508.61849023944654,262.0712241777751,526.4643541621712,0.0,493.5671231477114,3494.439453980138,2897.1860680635136,3618.6878279515513,359.42838155673235,2867.845209278013,776.1423046903006,3095.855191956967,531.0996026959582,664.2853235435962,414.63910171744556,1183.415148595907
