Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date
13/11/2018,Arizona Coyotes,1,Detroit Red Wings,6,,18257,02:39,at Little Caesars Arena (Detroit MI),2018-11-13
13/11/2018,Montreal Canadiens,2,Edmonton Oilers,6,,18347,02:28,,2018-11-13
13/11/2018,Toronto Maple Leafs,5,Los Angeles Kings,1,,17859,02:21,,2018-11-13
13/11/2018,Washington Capitals,5,Minnesota Wild,2,,19101,02:33,,2018-11-13
13/11/2018,Pittsburgh Penguins,2,New Jersey Devils,4,,15108,02:41,,2018-11-13
13/11/2018,Vancouver Canucks,2,New York Islanders,5,,8806,02:26,,2018-11-13
13/11/2018,Florida Panthers,2,Philadelphia Flyers,1,,19147,02:30,,2018-11-13
13/11/2018,Nashville Predators,4,San Jose Sharks,5,,16654,02:33,,2018-11-13
14/11/2018,St. Louis Blues,0,Chicago Blackhawks,1,,21401,02:19,,2018-11-14
14/11/2018,Boston Bruins,3,Colorado Avalanche,6,,16124,02:20,,2018-11-14
14/11/2018,Anaheim Ducks,0,Vegas Golden Knights,5,,18111,02:25,,2018-11-14
14/11/2018,Washington Capitals,1,Winnipeg Jets,3,,15321,02:22,,2018-11-14
15/11/2018,Nashville Predators,1,Arizona Coyotes,2,,13315,02:29,,2018-11-15
15/11/2018,Florida Panthers,3,Columbus Blue Jackets,7,,14872,02:31,,2018-11-15
15/11/2018,Montreal Canadiens,3,Calgary Flames,2,,18443,02:32,,2018-11-15
15/11/2018,Vancouver Canucks,2,Minnesota Wild,6,,19014,02:35,,2018-11-15
15/11/2018,New York Rangers,5,New York Islanders,7,,13472,02:40,,2018-11-15
15/11/2018,Detroit Red Wings,1,Ottawa Senators,2,,13402,02:39,,2018-11-15
15/11/2018,New Jersey Devils,3,Philadelphia Flyers,0,,18806,02:34,,2018-11-15
15/11/2018,Tampa Bay Lightning,4,Pittsburgh Penguins,3,,18422,02:31,,2018-11-15
15/11/2018,Toronto Maple Leafs,5,San Jose Sharks,3,,17011,02:27,,2018-11-15
16/11/2018,Toronto Maple Leafs,2,Anaheim Ducks,1,OT,16666,02:34,,2018-11-16
16/11/2018,Los Angeles Kings,2,Chicago Blackhawks,1,SO,21227,02:36,,2018-11-16
16/11/2018,Washington Capitals,3,Colorado Avalanche,2,OT,18050,02:35,,2018-11-16
16/11/2018,Boston Bruins,0,Dallas Stars,1,OT,18532,02:37,,2018-11-16
16/11/2018,St. Louis Blues,4,Vegas Golden Knights,1,,18488,02:25,,2018-11-16
16/11/2018,Buffalo Sabres,2,Winnipeg Jets,1,SO,15321,02:37,,2018-11-16
17/11/2018,Boston Bruins,2,Arizona Coyotes,1,,16386,02:23,,2018-11-17
17/11/2018,Columbus Blue Jackets,4,Carolina Hurricanes,1,,13040,02:25,,2018-11-17
17/11/2018,Edmonton Oilers,2,Calgary Flames,4,,19289,02:45,,2018-11-17
17/11/2018,Buffalo Sabres,3,Minnesota Wild,2,,18947,02:22,,2018-11-17
17/11/2018,Detroit Red Wings,3,New Jersey Devils,2,OT,16514,02:37,,2018-11-17
17/11/2018,Los Angeles Kings,3,Nashville Predators,5,,17627,02:34,,2018-11-17
17/11/2018,Florida Panthers,2,New York Rangers,4,,18006,02:30,,2018-11-17
17/11/2018,Pittsburgh Penguins,4,Ottawa Senators,6,,17692,02:28,,2018-11-17
17/11/2018,Tampa Bay Lightning,6,Philadelphia Flyers,5,OT,19060,02:40,,2018-11-17
17/11/2018,St. Louis Blues,0,San Jose Sharks,4,,17417,02:24,,2018-11-17
17/11/2018,Montreal Canadiens,3,Vancouver Canucks,2,,17880,02:35,,2018-11-17
18/11/2018,Colorado Avalanche,4,Anaheim Ducks,3,OT,16502,02:40,,2018-11-18
18/11/2018,New Jersey Devils,1,Carolina Hurricanes,2,,11211,02:30,,2018-11-18
18/11/2018,Minnesota Wild,1,Chicago Blackhawks,3,,21373,02:33,,2018-11-18
18/11/2018,Vegas Golden Knights,6,Edmonton Oilers,3,,18347,02:31,,2018-11-18
