Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date,original_month,original_day,home_team,visitor_team,game_month,game_day,original_month_number,game_month_number,original_date,source,reschedule,day_difference
17/2/2021,Florida Panthers,4,Carolina Hurricanes,3,OT,,02:33,,2021-01-21,Jan.,21.0,Hurricanes,Panthers,Feb.,17.0,1.0,2.0,2021-01-21,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,27.0
22/1/2021,San Jose Sharks,1,Minnesota Wild,4,,,02:28,,2021-01-22,,,,,,,,,,,0.0,
22/1/2021,New York Rangers,3,Pittsburgh Penguins,4,SO,,02:27,,2021-01-22,,,,,,,,,,,0.0,
22/1/2021,Edmonton Oilers,2,Toronto Maple Leafs,4,,,02:21,,2021-01-22,,,,,,,,,,,0.0,
22/1/2021,Buffalo Sabres,3,Washington Capitals,4,SO,,02:39,,2021-01-22,,,,,,,,,,,0.0,
22/1/2021,Colorado Avalanche,3,Anaheim Ducks,2,OT,,02:35,,2021-01-22,,,,,,,,,,,0.0,
22/1/2021,Detroit Red Wings,1,Chicago Blackhawks,4,,,02:17,,2021-01-22,,,,,,,,,,,0.0,
22/1/2021,Vegas Golden Knights,2,Arizona Coyotes,5,,2712.0,02:21,,2021-01-22,,,,,,,,,,,0.0,
22/1/2021,Nashville Predators,0,Dallas Stars,7,,4214.0,02:32,,2021-01-22,,,,,,,,,,,0.0,
7/3/2021,Florida Panthers,2,Carolina Hurricanes,4,,2924.0,02:49,,2021-01-23,Jan.,23.0,Hurricanes,Panthers,March,7.0,1.0,3.0,2021-01-23,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,43.0
23/1/2021,Ottawa Senators,3,Winnipeg Jets,6,,,02:27,,2021-01-23,,,,,,,,,,,0.0,
23/1/2021,Los Angeles Kings,2,St. Louis Blues,4,,,02:27,,2021-01-23,,,,,,,,,,,0.0,
23/1/2021,Philadelphia Flyers,1,Boston Bruins,6,,,02:26,,2021-01-23,,,,,,,,,,,0.0,
23/1/2021,Montreal Canadiens,5,Vancouver Canucks,2,,,02:29,,2021-01-23,,,,,,,,,,,0.0,
23/1/2021,Tampa Bay Lightning,2,Columbus Blue Jackets,5,,,02:26,,2021-01-23,,,,,,,,,,,0.0,
24/1/2021,Los Angeles Kings,6,St. Louis Blues,3,,,02:28,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,Buffalo Sabres,4,Washington Capitals,3,SO,,02:44,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,Edmonton Oilers,4,Winnipeg Jets,3,,,02:27,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,New York Rangers,2,Pittsburgh Penguins,3,,,02:25,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,San Jose Sharks,5,Minnesota Wild,3,,,02:36,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,Nashville Predators,2,Dallas Stars,3,,4056.0,02:28,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,Colorado Avalanche,1,Anaheim Ducks,3,,,02:19,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,Vegas Golden Knights,1,Arizona Coyotes,0,,2672.0,02:17,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,New York Islanders,0,New Jersey Devils,2,,,02:24,,2021-01-24,,,,,,,,,,,0.0,
