game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number
Fri,2021-01-01,2021,7:00p,Memphis Grizzlies,108,Charlotte Hornets,93,,0,2020/2021,Jan,1,1
Fri,2021-01-01,2021,7:00p,Miami Heat,83,Dallas Mavericks,93,,0,2020/2021,Jan,1,1
Fri,2021-01-01,2021,7:00p,Boston Celtics,93,Detroit Pistons,96,,0,2020/2021,Jan,1,1
Fri,2021-01-01,2021,7:30p,Atlanta Hawks,114,Brooklyn Nets,96,,0,2020/2021,Jan,1,1
Fri,2021-01-01,2021,8:00p,Chicago Bulls,96,Milwaukee Bucks,126,,0,2020/2021,Jan,1,1
Fri,2021-01-01,2021,8:00p,Washington Wizards,130,Minnesota Timberwolves,109,,0,2020/2021,Jan,1,1
Fri,2021-01-01,2021,8:00p,Los Angeles Lakers,109,San Antonio Spurs,103,,0,2020/2021,Jan,1,1
Fri,2021-01-01,2021,9:00p,Phoenix Suns,106,Denver Nuggets,103,,0,2020/2021,Jan,1,1
Fri,2021-01-01,2021,9:00p,Los Angeles Clippers,100,Utah Jazz,106,,1932,2020/2021,Jan,1,1
Fri,2021-01-01,2021,10:30p,Portland Trail Blazers,123,Golden State Warriors,98,,0,2020/2021,Jan,1,1
Sat,2021-01-02,2021,5:00p,Sacramento Kings,94,Houston Rockets,102,,3065,2020/2021,Jan,2,1
Sat,2021-01-02,2021,7:00p,New York Knicks,106,Indiana Pacers,102,,0,2020/2021,Jan,2,1
Sat,2021-01-02,2021,7:00p,Oklahoma City Thunder,108,Orlando Magic,99,,3339,2020/2021,Jan,2,1
Sat,2021-01-02,2021,7:00p,Charlotte Hornets,112,Philadelphia 76ers,127,,0,2020/2021,Jan,2,1
Sat,2021-01-02,2021,7:30p,Cleveland Cavaliers,96,Atlanta Hawks,91,,0,2020/2021,Jan,2,1
Sat,2021-01-02,2021,7:30p,Toronto Raptors,116,New Orleans Pelicans,120,,750,2020/2021,Jan,2,1
Sun,2021-01-03,2021,3:00p,Boston Celtics,122,Detroit Pistons,120,,0,2020/2021,Jan,3,1
Sun,2021-01-03,2021,6:00p,Washington Wizards,123,Brooklyn Nets,122,,0,2020/2021,Jan,3,1
Sun,2021-01-03,2021,6:00p,Los Angeles Lakers,108,Memphis Grizzlies,94,,0,2020/2021,Jan,3,1
Sun,2021-01-03,2021,7:00p,Denver Nuggets,124,Minnesota Timberwolves,109,,0,2020/2021,Jan,3,1
Sun,2021-01-03,2021,7:00p,Utah Jazz,130,San Antonio Spurs,109,,0,2020/2021,Jan,3,1
Sun,2021-01-03,2021,8:00p,Dallas Mavericks,108,Chicago Bulls,118,,0,2020/2021,Jan,3,1
Sun,2021-01-03,2021,8:00p,Los Angeles Clippers,112,Phoenix Suns,107,,0,2020/2021,Jan,3,1
Sun,2021-01-03,2021,8:30p,Portland Trail Blazers,122,Golden State Warriors,137,,0,2020/2021,Jan,3,1
Mon,2021-01-04,2021,7:00p,Cleveland Cavaliers,83,Orlando Magic,103,,2726,2020/2021,Jan,4,1
Mon,2021-01-04,2021,7:00p,Charlotte Hornets,101,Philadelphia 76ers,118,,0,2020/2021,Jan,4,1
Mon,2021-01-04,2021,7:30p,New York Knicks,113,Atlanta Hawks,108,,0,2020/2021,Jan,4,1
Mon,2021-01-04,2021,7:30p,Oklahoma City Thunder,90,Miami Heat,118,,0,2020/2021,Jan,4,1
Mon,2021-01-04,2021,7:30p,Boston Celtics,126,Toronto Raptors,114,,3740,2020/2021,Jan,4,1
Mon,2021-01-04,2021,8:00p,Dallas Mavericks,113,Houston Rockets,100,,3070,2020/2021,Jan,4,1
Mon,2021-01-04,2021,8:00p,Detroit Pistons,115,Milwaukee Bucks,125,,0,2020/2021,Jan,4,1
Mon,2021-01-04,2021,8:00p,Indiana Pacers,118,New Orleans Pelicans,116,OT,750,2020/2021,Jan,4,1
Mon,2021-01-04,2021,10:00p,Sacramento Kings,106,Golden State Warriors,137,,0,2020/2021,Jan,4,1
Tue,2021-01-05,2021,7:30p,Utah Jazz,96,Brooklyn Nets,130,,0,2020/2021,Jan,5,1
Tue,2021-01-05,2021,8:00p,Los Angeles Lakers,94,Memphis Grizzlies,92,,0,2020/2021,Jan,5,1
Tue,2021-01-05,2021,9:00p,Minnesota Timberwolves,116,Denver Nuggets,123,,0,2020/2021,Jan,5,1
Tue,2021-01-05,2021,10:00p,San Antonio Spurs,116,Los Angeles Clippers,113,,0,2020/2021,Jan,5,1
Tue,2021-01-05,2021,10:30p,Chicago Bulls,111,Portland Trail Blazers,108,,0,2020/2021,Jan,5,1
Wed,2021-01-06,2021,7:00p,Houston Rockets,107,Indiana Pacers,114,,0,2020/2021,Jan,6,1
Wed,2021-01-06,2021,7:00p,Cleveland Cavaliers,94,Orlando Magic,105,,2948,2020/2021,Jan,6,1
Wed,2021-01-06,2021,7:00p,Washington Wizards,136,Philadelphia 76ers,141,,0,2020/2021,Jan,6,1
Wed,2021-01-06,2021,7:30p,Charlotte Hornets,102,Atlanta Hawks,94,,0,2020/2021,Jan,6,1
Wed,2021-01-06,2021,7:30p,Boston Celtics,107,Miami Heat,105,,0,2020/2021,Jan,6,1
Wed,2021-01-06,2021,7:30p,Utah Jazz,100,New York Knicks,112,,0,2020/2021,Jan,6,1
Wed,2021-01-06,2021,8:00p,Detroit Pistons,115,Milwaukee Bucks,130,,0,2020/2021,Jan,6,1
Wed,2021-01-06,2021,8:00p,Oklahoma City Thunder,111,New Orleans Pelicans,110,,750,2020/2021,Jan,6,1
Wed,2021-01-06,2021,9:00p,Toronto Raptors,115,Phoenix Suns,123,,0,2020/2021,Jan,6,1
Wed,2021-01-06,2021,10:00p,Los Angeles Clippers,108,Golden State Warriors,101,,0,2020/2021,Jan,6,1
Wed,2021-01-06,2021,10:00p,Chicago Bulls,124,Sacramento Kings,128,,0,2020/2021,Jan,6,1
Thu,2021-01-07,2021,7:30p,Philadelphia 76ers,109,Brooklyn Nets,122,,0,2020/2021,Jan,7,1
Thu,2021-01-07,2021,8:00p,Cleveland Cavaliers,94,Memphis Grizzlies,90,,0,2020/2021,Jan,7,1
Thu,2021-01-07,2021,10:00p,Dallas Mavericks,124,Denver Nuggets,117,OT,0,2020/2021,Jan,7,1
Thu,2021-01-07,2021,10:00p,San Antonio Spurs,118,Los Angeles Lakers,109,,0,2020/2021,Jan,7,1
Thu,2021-01-07,2021,10:00p,Minnesota Timberwolves,117,Portland Trail Blazers,135,,0,2020/2021,Jan,7,1
Fri,2021-01-08,2021,7:00p,Phoenix Suns,105,Detroit Pistons,110,OT,0,2020/2021,Jan,8,1
Fri,2021-01-08,2021,7:30p,Washington Wizards,107,Boston Celtics,116,,0,2020/2021,Jan,8,1
Fri,2021-01-08,2021,7:30p,Charlotte Hornets,118,New Orleans Pelicans,110,,750,2020/2021,Jan,8,1
Fri,2021-01-08,2021,7:30p,Oklahoma City Thunder,101,New York Knicks,89,,0,2020/2021,Jan,8,1
Fri,2021-01-08,2021,8:00p,Orlando Magic,90,Houston Rockets,132,,3039,2020/2021,Jan,8,1
Fri,2021-01-08,2021,8:00p,Brooklyn Nets,110,Memphis Grizzlies,115,,0,2020/2021,Jan,8,1
Fri,2021-01-08,2021,8:00p,Utah Jazz,131,Milwaukee Bucks,118,,0,2020/2021,Jan,8,1
Fri,2021-01-08,2021,10:00p,Los Angeles Clippers,105,Golden State Warriors,115,,0,2020/2021,Jan,8,1
Fri,2021-01-08,2021,10:00p,Chicago Bulls,115,Los Angeles Lakers,117,,0,2020/2021,Jan,8,1
Fri,2021-01-08,2021,10:00p,Toronto Raptors,144,Sacramento Kings,123,,0,2020/2021,Jan,8,1
Sat,2021-01-09,2021,3:00p,Denver Nuggets,115,Philadelphia 76ers,103,,0,2020/2021,Jan,9,1
Sat,2021-01-09,2021,7:00p,Atlanta Hawks,105,Charlotte Hornets,113,,0,2020/2021,Jan,9,1
Sat,2021-01-09,2021,7:00p,Phoenix Suns,125,Indiana Pacers,117,,0,2020/2021,Jan,9,1
Sat,2021-01-09,2021,7:00p,Miami Heat,128,Washington Wizards,124,,0,2020/2021,Jan,9,1
Sat,2021-01-09,2021,8:00p,Cleveland Cavaliers,90,Milwaukee Bucks,100,,0,2020/2021,Jan,9,1
Sat,2021-01-09,2021,8:00p,San Antonio Spurs,125,Minnesota Timberwolves,122,OT,0,2020/2021,Jan,9,1
Sat,2021-01-09,2021,8:30p,Orlando Magic,98,Dallas Mavericks,112,,0,2020/2021,Jan,9,1
Sat,2021-01-09,2021,10:00p,Portland Trail Blazers,125,Sacramento Kings,99,,0,2020/2021,Jan,9,1
Sun,2021-01-10,2021,3:00p,Utah Jazz,96,Detroit Pistons,86,,0,2020/2021,Jan,10,1
Sun,2021-01-10,2021,4:00p,Chicago Bulls,127,Los Angeles Clippers,130,,0,2020/2021,Jan,10,1
Sun,2021-01-10,2021,6:00p,Oklahoma City Thunder,129,Brooklyn Nets,116,,0,2020/2021,Jan,10,1
Sun,2021-01-10,2021,6:00p,Denver Nuggets,114,New York Knicks,89,,0,2020/2021,Jan,10,1
Sun,2021-01-10,2021,7:00p,Los Angeles Lakers,120,Houston Rockets,102,,3327,2020/2021,Jan,10,1
Sun,2021-01-10,2021,8:00p,San Antonio Spurs,88,Minnesota Timberwolves,96,,0,2020/2021,Jan,10,1
Sun,2021-01-10,2021,8:30p,Toronto Raptors,105,Golden State Warriors,106,,0,2020/2021,Jan,10,1
Mon,2021-01-11,2021,7:00p,New York Knicks,88,Charlotte Hornets,109,,0,2020/2021,Jan,11,1
Mon,2021-01-11,2021,7:00p,Memphis Grizzlies,101,Cleveland Cavaliers,91,,1944,2020/2021,Jan,11,1
Mon,2021-01-11,2021,7:00p,Milwaukee Bucks,121,Orlando Magic,99,,3248,2020/2021,Jan,11,1
Mon,2021-01-11,2021,7:00p,Phoenix Suns,107,Washington Wizards,128,,0,2020/2021,Jan,11,1
Mon,2021-01-11,2021,7:30p,Philadelphia 76ers,94,Atlanta Hawks,112,,0,2020/2021,Jan,11,1
Mon,2021-01-11,2021,10:00p,Toronto Raptors,111,Portland Trail Blazers,112,,0,2020/2021,Jan,11,1
Mon,2021-01-11,2021,10:00p,Indiana Pacers,122,Sacramento Kings,127,,0,2020/2021,Jan,11,1
Tue,2021-01-12,2021,7:00p,Miami Heat,134,Philadelphia 76ers,137,OT,0,2020/2021,Jan,12,1
Tue,2021-01-12,2021,7:30p,Denver Nuggets,116,Brooklyn Nets,122,,0,2020/2021,Jan,12,1
Tue,2021-01-12,2021,7:30p,Utah Jazz,117,Cleveland Cavaliers,87,,1944,2020/2021,Jan,12,1
