Team,Distance,Schedule Type,League
Minnesota Timberwolves,66262.8680798337,basic - low - basic - monthly,NBA
Denver Nuggets,65047.947481392024,basic - low - basic - monthly,NBA
Portland Trail Blazers,68792.62269375104,basic - low - basic - monthly,NBA
Phoenix Suns,66466.70448698163,basic - low - basic - monthly,NBA
Miami Heat,64429.04354682349,basic - low - basic - monthly,NBA
Milwaukee Bucks,53540.45732735029,basic - low - basic - monthly,NBA
Charlotte Hornets,49851.21247787254,basic - low - basic - monthly,NBA
Detroit Pistons,51138.28462893508,basic - low - basic - monthly,NBA
Washington Wizards,53631.53105060853,basic - low - basic - monthly,NBA
New York Knicks,59972.10187629982,basic - low - basic - monthly,NBA
San Antonio Spurs,62888.06425040395,basic - low - basic - monthly,NBA
Utah Jazz,65358.64908515962,basic - low - basic - monthly,NBA
Sacramento Kings,71877.18320681939,basic - low - basic - monthly,NBA
Los Angeles Clippers,65279.40195977216,basic - low - basic - monthly,NBA
New Orleans Pelicans,64767.54807505551,basic - low - basic - monthly,NBA
Atlanta Hawks,51285.321395313695,basic - low - basic - monthly,NBA
Oklahoma City Thunder,53507.419073292935,basic - low - basic - monthly,NBA
Dallas Mavericks,61579.87239673661,basic - low - basic - monthly,NBA
Houston Rockets,65897.94773628825,basic - low - basic - monthly,NBA
Golden State Warriors,72352.13982803228,basic - low - basic - monthly,NBA
all,1834339.5282442179,basic - low - basic - monthly,NBA
Brooklyn Nets,59315.36104639384,basic - low - basic - post_all_star,NBA
Los Angeles Lakers,64527.6845592153,basic - low - basic - post_all_star,NBA
Cleveland Cavaliers,52021.09286278146,basic - low - basic - post_all_star,NBA
Indiana Pacers,55925.05257024185,basic - low - basic - post_all_star,NBA
Orlando Magic,70091.29883043923,basic - low - basic - post_all_star,NBA
Philadelphia 76ers,57106.06156964434,basic - low - basic - post_all_star,NBA
Toronto Raptors,56061.62947294438,basic - low - basic - post_all_star,NBA
Boston Celtics,63829.40408164328,basic - low - basic - post_all_star,NBA
Chicago Bulls,56005.28341039955,basic - low - basic - post_all_star,NBA
Memphis Grizzlies,65039.33820356279,basic - low - basic - post_all_star,NBA
Minnesota Timberwolves,66262.8680798337,basic - low - basic - post_all_star,NBA
Denver Nuggets,65047.947481392024,basic - low - basic - post_all_star,NBA
Portland Trail Blazers,68792.62269375104,basic - low - basic - post_all_star,NBA
Phoenix Suns,66466.70448698163,basic - low - basic - post_all_star,NBA
Miami Heat,64429.04354682349,basic - low - basic - post_all_star,NBA
Milwaukee Bucks,53540.45732735029,basic - low - basic - post_all_star,NBA
Charlotte Hornets,49851.21247787254,basic - low - basic - post_all_star,NBA
Detroit Pistons,51138.28462893508,basic - low - basic - post_all_star,NBA
Washington Wizards,53631.53105060853,basic - low - basic - post_all_star,NBA
New York Knicks,59972.10187629982,basic - low - basic - post_all_star,NBA
San Antonio Spurs,61779.69109908096,basic - low - basic - post_all_star,NBA
Utah Jazz,65358.64908515962,basic - low - basic - post_all_star,NBA
Sacramento Kings,71877.18320681939,basic - low - basic - post_all_star,NBA
Los Angeles Clippers,65279.40195977216,basic - low - basic - post_all_star,NBA
New Orleans Pelicans,64767.54807505551,basic - low - basic - post_all_star,NBA
Atlanta Hawks,51285.321395313695,basic - low - basic - post_all_star,NBA
Oklahoma City Thunder,53507.419073292935,basic - low - basic - post_all_star,NBA
Dallas Mavericks,61579.87239673661,basic - low - basic - post_all_star,NBA
Houston Rockets,65897.94773628825,basic - low - basic - post_all_star,NBA
Golden State Warriors,72352.13982803228,basic - low - basic - post_all_star,NBA
all,1832740.1541126654,basic - low - basic - post_all_star,NBA
Brooklyn Nets,60236.16238059089,basic - low - 15_more_games - monthly,NBA
Los Angeles Lakers,65673.79589984058,basic - low - 15_more_games - monthly,NBA
Cleveland Cavaliers,59336.924634364535,basic - low - 15_more_games - monthly,NBA
Indiana Pacers,59139.71162730758,basic - low - 15_more_games - monthly,NBA
Orlando Magic,72252.47396513128,basic - low - 15_more_games - monthly,NBA
Philadelphia 76ers,65897.89643073066,basic - low - 15_more_games - monthly,NBA
Toronto Raptors,61446.68199174002,basic - low - 15_more_games - monthly,NBA
Boston Celtics,65165.862444100785,basic - low - 15_more_games - monthly,NBA
Chicago Bulls,55942.53739440475,basic - low - 15_more_games - monthly,NBA
Memphis Grizzlies,66396.08027741157,basic - low - 15_more_games - monthly,NBA
Minnesota Timberwolves,66262.8680798337,basic - low - 15_more_games - monthly,NBA
