home,visitor,game_date,Schedule Type,League
Chicago Bulls,Philadelphia 76ers,2021-05-03,Actual,NBA
Memphis Grizzlies,New York Knicks,2021-05-03,Actual,NBA
Los Angeles Lakers,Denver Nuggets,2021-05-03,Actual,NBA
Utah Jazz,San Antonio Spurs,2021-05-03,Actual,NBA
Cleveland Cavaliers,Phoenix Suns,2021-05-04,Actual,NBA
Detroit Pistons,Charlotte Hornets,2021-05-04,Actual,NBA
Milwaukee Bucks,Brooklyn Nets,2021-05-04,Actual,NBA
Miami Heat,Dallas Mavericks,2021-05-04,Actual,NBA
New Orleans Pelicans,Golden State Warriors,2021-05-04,Actual,NBA
Oklahoma City Thunder,Sacramento Kings,2021-05-04,Actual,NBA
Los Angeles Clippers,Toronto Raptors,2021-05-04,Actual,NBA
Orlando Magic,Boston Celtics,2021-05-05,Actual,NBA
Cleveland Cavaliers,Portland Trail Blazers,2021-05-05,Actual,NBA
Atlanta Hawks,Phoenix Suns,2021-05-05,Actual,NBA
Houston Rockets,Philadelphia 76ers,2021-05-05,Actual,NBA
Indiana Pacers,Sacramento Kings,2021-05-05,Actual,NBA
Milwaukee Bucks,Washington Wizards,2021-05-05,Actual,NBA
Minnesota Timberwolves,Memphis Grizzlies,2021-05-05,Actual,NBA
Denver Nuggets,New York Knicks,2021-05-05,Actual,NBA
Utah Jazz,San Antonio Spurs,2021-05-05,Actual,NBA
Charlotte Hornets,Chicago Bulls,2021-05-06,Actual,NBA
Dallas Mavericks,Brooklyn Nets,2021-05-06,Actual,NBA
Toronto Raptors,Washington Wizards,2021-05-06,Actual,NBA
Detroit Pistons,Memphis Grizzlies,2021-05-06,Actual,NBA
Indiana Pacers,Atlanta Hawks,2021-05-06,Actual,NBA
Golden State Warriors,Oklahoma City Thunder,2021-05-06,Actual,NBA
Los Angeles Clippers,Los Angeles Lakers,2021-05-06,Actual,NBA
Philadelphia 76ers,New Orleans Pelicans,2021-05-07,Actual,NBA
Chicago Bulls,Boston Celtics,2021-05-07,Actual,NBA
Charlotte Hornets,Orlando Magic,2021-05-07,Actual,NBA
Miami Heat,Minnesota Timberwolves,2021-05-07,Actual,NBA
Milwaukee Bucks,Houston Rockets,2021-05-07,Actual,NBA
Dallas Mavericks,Cleveland Cavaliers,2021-05-07,Actual,NBA
Utah Jazz,Denver Nuggets,2021-05-07,Actual,NBA
Phoenix Suns,New York Knicks,2021-05-07,Actual,NBA
Portland Trail Blazers,Los Angeles Lakers,2021-05-07,Actual,NBA
Sacramento Kings,San Antonio Spurs,2021-05-07,Actual,NBA
Indiana Pacers,Washington Wizards,2021-05-08,Actual,NBA
Philadelphia 76ers,Detroit Pistons,2021-05-08,Actual,NBA
Toronto Raptors,Memphis Grizzlies,2021-05-08,Actual,NBA
Denver Nuggets,Brooklyn Nets,2021-05-08,Actual,NBA
Golden State Warriors,Oklahoma City Thunder,2021-05-08,Actual,NBA
Portland Trail Blazers,San Antonio Spurs,2021-05-08,Actual,NBA
Utah Jazz,Houston Rockets,2021-05-08,Actual,NBA
Boston Celtics,Miami Heat,2021-05-09,Actual,NBA
Los Angeles Clippers,New York Knicks,2021-05-09,Actual,NBA
Charlotte Hornets,New Orleans Pelicans,2021-05-09,Actual,NBA
Cleveland Cavaliers,Dallas Mavericks,2021-05-09,Actual,NBA
Orlando Magic,Minnesota Timberwolves,2021-05-09,Actual,NBA
Detroit Pistons,Chicago Bulls,2021-05-09,Actual,NBA
Los Angeles Lakers,Phoenix Suns,2021-05-09,Actual,NBA
Sacramento Kings,Oklahoma City Thunder,2021-05-09,Actual,NBA
Atlanta Hawks,Washington Wizards,2021-05-10,Actual,NBA
Cleveland Cavaliers,Indiana Pacers,2021-05-10,Actual,NBA
Memphis Grizzlies,New Orleans Pelicans,2021-05-10,Actual,NBA
San Antonio Spurs,Milwaukee Bucks,2021-05-10,Actual,NBA
Golden State Warriors,Utah Jazz,2021-05-10,Actual,NBA
Portland Trail Blazers,Houston Rockets,2021-05-10,Actual,NBA
Charlotte Hornets,Denver Nuggets,2021-05-11,Actual,NBA
Detroit Pistons,Minnesota Timberwolves,2021-05-11,Actual,NBA
Boston Celtics,Miami Heat,2021-05-11,Actual,NBA
Toronto Raptors,Los Angeles Clippers,2021-05-11,Actual,NBA
Chicago Bulls,Brooklyn Nets,2021-05-11,Actual,NBA
Indiana Pacers,Philadelphia 76ers,2021-05-11,Actual,NBA
Memphis Grizzlies,Dallas Mavericks,2021-05-11,Actual,NBA
Milwaukee Bucks,Orlando Magic,2021-05-11,Actual,NBA
Golden State Warriors,Phoenix Suns,2021-05-11,Actual,NBA
Los Angeles Lakers,New York Knicks,2021-05-11,Actual,NBA
Sacramento Kings,Oklahoma City Thunder,2021-05-11,Actual,NBA
Atlanta Hawks,Washington Wizards,2021-05-12,Actual,NBA
Brooklyn Nets,San Antonio Spurs,2021-05-12,Actual,NBA
Cleveland Cavaliers,Boston Celtics,2021-05-12,Actual,NBA
Dallas Mavericks,New Orleans Pelicans,2021-05-12,Actual,NBA
Utah Jazz,Portland Trail Blazers,2021-05-12,Actual,NBA
Los Angeles Lakers,Houston Rockets,2021-05-12,Actual,NBA
Charlotte Hornets,Los Angeles Clippers,2021-05-13,Actual,NBA
Indiana Pacers,Milwaukee Bucks,2021-05-13,Actual,NBA
Atlanta Hawks,Orlando Magic,2021-05-13,Actual,NBA
Miami Heat,Philadelphia 76ers,2021-05-13,Actual,NBA
New York Knicks,San Antonio Spurs,2021-05-13,Actual,NBA
Chicago Bulls,Toronto Raptors,2021-05-13,Actual,NBA
Memphis Grizzlies,Sacramento Kings,2021-05-13,Actual,NBA
Minnesota Timberwolves,Denver Nuggets,2021-05-13,Actual,NBA
Phoenix Suns,Portland Trail Blazers,2021-05-13,Actual,NBA
Washington Wizards,Cleveland Cavaliers,2021-05-14,Actual,NBA
Detroit Pistons,Denver Nuggets,2021-05-14,Actual,NBA
Oklahoma City Thunder,Utah Jazz,2021-05-14,Actual,NBA
Philadelphia 76ers,Orlando Magic,2021-05-14,Actual,NBA
Dallas Mavericks,Toronto Raptors,2021-05-14,Actual,NBA
Houston Rockets,Los Angeles Clippers,2021-05-14,Actual,NBA
Memphis Grizzlies,Sacramento Kings,2021-05-14,Actual,NBA
Golden State Warriors,New Orleans Pelicans,2021-05-14,Actual,NBA
Brooklyn Nets,Chicago Bulls,2021-05-15,Actual,NBA
Indiana Pacers,Los Angeles Lakers,2021-05-15,Actual,NBA
New York Knicks,Charlotte Hornets,2021-05-15,Actual,NBA
Minnesota Timberwolves,Boston Celtics,2021-05-15,Actual,NBA
San Antonio Spurs,Phoenix Suns,2021-05-15,Actual,NBA
Milwaukee Bucks,Miami Heat,2021-05-15,Actual,NBA
New York Knicks,Boston Celtics,2021-05-16,Actual,NBA
Toronto Raptors,Indiana Pacers,2021-05-16,Actual,NBA
Washington Wizards,Charlotte Hornets,2021-05-16,Actual,NBA
San Antonio Spurs,Phoenix Suns,2021-05-16,Actual,NBA
Golden State Warriors,Memphis Grizzlies,2021-05-16,Actual,NBA
Atlanta Hawks,Houston Rockets,2021-05-16,Actual,NBA
Brooklyn Nets,Cleveland Cavaliers,2021-05-16,Actual,NBA
Philadelphia 76ers,Orlando Magic,2021-05-16,Actual,NBA
Detroit Pistons,Miami Heat,2021-05-16,Actual,NBA
Chicago Bulls,Milwaukee Bucks,2021-05-16,Actual,NBA
Minnesota Timberwolves,Dallas Mavericks,2021-05-16,Actual,NBA
New Orleans Pelicans,Los Angeles Lakers,2021-05-16,Actual,NBA
Oklahoma City Thunder,Los Angeles Clippers,2021-05-16,Actual,NBA
Portland Trail Blazers,Denver Nuggets,2021-05-16,Actual,NBA
Sacramento Kings,Utah Jazz,2021-05-16,Actual,NBA
Colorado Avalanche,St. Louis Blues,2021-01-13,Planned,NHL
Edmonton Oilers,Vancouver Canucks,2021-01-13,Planned,NHL
Philadelphia Flyers,Pittsburgh Penguins,2021-01-13,Planned,NHL
Tampa Bay Lightning,Chicago Blackhawks,2021-01-13,Planned,NHL
Toronto Maple Leafs,Montreal Canadiens,2021-01-13,Planned,NHL
Florida Panthers,Dallas Stars,2021-01-14,Planned,NHL
Winnipeg Jets,Calgary Flames,2021-01-14,Planned,NHL
Vegas Golden Knights,Anaheim Ducks,2021-01-14,Planned,NHL
New York Rangers,New York Islanders,2021-01-14,Planned,NHL
Nashville Predators,Columbus Blue Jackets,2021-01-14,Planned,NHL
Edmonton Oilers,Vancouver Canucks,2021-01-14,Planned,NHL
Los Angeles Kings,Minnesota Wild,2021-01-14,Planned,NHL
Detroit Red Wings,Carolina Hurricanes,2021-01-14,Planned,NHL
Buffalo Sabres,Washington Capitals,2021-01-14,Planned,NHL
Arizona Coyotes,San Jose Sharks,2021-01-14,Planned,NHL
New Jersey Devils,Boston Bruins,2021-01-14,Planned,NHL
Florida Panthers,Dallas Stars,2021-01-15,Planned,NHL
Tampa Bay Lightning,Chicago Blackhawks,2021-01-15,Planned,NHL
Philadelphia Flyers,Pittsburgh Penguins,2021-01-15,Planned,NHL
Ottawa Senators,Toronto Maple Leafs,2021-01-15,Planned,NHL
Buffalo Sabres,Washington Capitals,2021-01-15,Planned,NHL
Colorado Avalanche,St. Louis Blues,2021-01-15,Planned,NHL
Vegas Golden Knights,Anaheim Ducks,2021-01-16,Planned,NHL
Ottawa Senators,Toronto Maple Leafs,2021-01-16,Planned,NHL
Nashville Predators,Columbus Blue Jackets,2021-01-16,Planned,NHL
New York Rangers,New York Islanders,2021-01-16,Planned,NHL
Los Angeles Kings,Minnesota Wild,2021-01-16,Planned,NHL
Edmonton Oilers,Montreal Canadiens,2021-01-16,Planned,NHL
Detroit Red Wings,Carolina Hurricanes,2021-01-16,Planned,NHL
Calgary Flames,Vancouver Canucks,2021-01-16,Planned,NHL
Arizona Coyotes,San Jose Sharks,2021-01-16,Planned,NHL
New Jersey Devils,Boston Bruins,2021-01-16,Planned,NHL
Florida Panthers,Chicago Blackhawks,2021-01-17,Planned,NHL
Pittsburgh Penguins,Washington Capitals,2021-01-17,Planned,NHL
St. Louis Blues,San Jose Sharks,2021-01-18,Planned,NHL
Vegas Golden Knights,Arizona Coyotes,2021-01-18,Planned,NHL
Philadelphia Flyers,Buffalo Sabres,2021-01-18,Planned,NHL
Toronto Maple Leafs,Winnipeg Jets,2021-01-18,Planned,NHL
Nashville Predators,Carolina Hurricanes,2021-01-18,Planned,NHL
Edmonton Oilers,Montreal Canadiens,2021-01-18,Planned,NHL
Calgary Flames,Vancouver Canucks,2021-01-18,Planned,NHL
Detroit Red Wings,Columbus Blue Jackets,2021-01-18,Planned,NHL
Anaheim Ducks,Minnesota Wild,2021-01-18,Planned,NHL
New York Islanders,Boston Bruins,2021-01-18,Planned,NHL
Pittsburgh Penguins,Washington Capitals,2021-01-19,Planned,NHL
Ottawa Senators,Winnipeg Jets,2021-01-19,Planned,NHL
Philadelphia Flyers,Buffalo Sabres,2021-01-19,Planned,NHL
Los Angeles Kings,Colorado Avalanche,2021-01-19,Planned,NHL
Florida Panthers,Chicago Blackhawks,2021-01-19,Planned,NHL
Detroit Red Wings,Columbus Blue Jackets,2021-01-19,Planned,NHL
Nashville Predators,Carolina Hurricanes,2021-01-19,Planned,NHL
New York Rangers,New Jersey Devils,2021-01-19,Planned,NHL
Anaheim Ducks,Minnesota Wild,2021-01-20,Planned,NHL
St. Louis Blues,San Jose Sharks,2021-01-20,Planned,NHL
Toronto Maple Leafs,Edmonton Oilers,2021-01-20,Planned,NHL
Vancouver Canucks,Montreal Canadiens,2021-01-20,Planned,NHL
Vegas Golden Knights,Arizona Coyotes,2021-01-20,Planned,NHL
Ottawa Senators,Winnipeg Jets,2021-01-21,Planned,NHL
Vancouver Canucks,Montreal Canadiens,2021-01-21,Planned,NHL
Los Angeles Kings,Colorado Avalanche,2021-01-21,Planned,NHL
Boston Bruins,Philadelphia Flyers,2021-01-21,Planned,NHL
Columbus Blue Jackets,Tampa Bay Lightning,2021-01-21,Planned,NHL
New York Islanders,New Jersey Devils,2021-01-21,Planned,NHL
Carolina Hurricanes,Florida Panthers,2021-01-21,Planned,NHL
Minnesota Wild,San Jose Sharks,2021-01-22,Planned,NHL
Pittsburgh Penguins,New York Rangers,2021-01-22,Planned,NHL
Toronto Maple Leafs,Edmonton Oilers,2021-01-22,Planned,NHL
Washington Capitals,Buffalo Sabres,2021-01-22,Planned,NHL
Anaheim Ducks,Colorado Avalanche,2021-01-22,Planned,NHL
Chicago Blackhawks,Detroit Red Wings,2021-01-22,Planned,NHL
Arizona Coyotes,Vegas Golden Knights,2021-01-22,Planned,NHL
Dallas Stars,Nashville Predators,2021-01-22,Planned,NHL
Carolina Hurricanes,Florida Panthers,2021-01-23,Planned,NHL
Winnipeg Jets,Ottawa Senators,2021-01-23,Planned,NHL
St. Louis Blues,Los Angeles Kings,2021-01-23,Planned,NHL
Boston Bruins,Philadelphia Flyers,2021-01-23,Planned,NHL
Vancouver Canucks,Montreal Canadiens,2021-01-23,Planned,NHL
Columbus Blue Jackets,Tampa Bay Lightning,2021-01-23,Planned,NHL
St. Louis Blues,Los Angeles Kings,2021-01-24,Planned,NHL
Washington Capitals,Buffalo Sabres,2021-01-24,Planned,NHL
Winnipeg Jets,Edmonton Oilers,2021-01-24,Planned,NHL
Pittsburgh Penguins,New York Rangers,2021-01-24,Planned,NHL
Minnesota Wild,San Jose Sharks,2021-01-24,Planned,NHL
Dallas Stars,Nashville Predators,2021-01-24,Planned,NHL
Anaheim Ducks,Colorado Avalanche,2021-01-24,Planned,NHL
Arizona Coyotes,Vegas Golden Knights,2021-01-24,Planned,NHL
New Jersey Devils,New York Islanders,2021-01-24,Planned,NHL
Calgary Flames,Toronto Maple Leafs,2021-01-24,Planned,NHL
Chicago Blackhawks,Detroit Red Wings,2021-01-24,Planned,NHL
Vancouver Canucks,Ottawa Senators,2021-01-25,Planned,NHL
Carolina Hurricanes,Tampa Bay Lightning,2021-01-26,Planned,NHL
Washington Capitals,New York Islanders,2021-01-26,Planned,NHL
Winnipeg Jets,Edmonton Oilers,2021-01-26,Planned,NHL
Nashville Predators,Chicago Blackhawks,2021-01-26,Planned,NHL
Vegas Golden Knights,St. Louis Blues,2021-01-26,Planned,NHL
Minnesota Wild,Los Angeles Kings,2021-01-26,Planned,NHL
Dallas Stars,Detroit Red Wings,2021-01-26,Planned,NHL
Colorado Avalanche,San Jose Sharks,2021-01-26,Planned,NHL
Calgary Flames,Toronto Maple Leafs,2021-01-26,Planned,NHL
Columbus Blue Jackets,Florida Panthers,2021-01-26,Planned,NHL
Buffalo Sabres,New York Rangers,2021-01-26,Planned,NHL
Boston Bruins,Pittsburgh Penguins,2021-01-26,Planned,NHL
Arizona Coyotes,Anaheim Ducks,2021-01-26,Planned,NHL
New Jersey Devils,Philadelphia Flyers,2021-01-26,Planned,NHL
Nashville Predators,Chicago Blackhawks,2021-01-27,Planned,NHL
Vancouver Canucks,Ottawa Senators,2021-01-27,Planned,NHL
Vancouver Canucks,Ottawa Senators,2021-01-28,Planned,NHL
Vegas Golden Knights,St. Louis Blues,2021-01-28,Planned,NHL
Washington Capitals,New York Islanders,2021-01-28,Planned,NHL
New Jersey Devils,Philadelphia Flyers,2021-01-28,Planned,NHL
Buffalo Sabres,New York Rangers,2021-01-28,Planned,NHL
Minnesota Wild,Los Angeles Kings,2021-01-28,Planned,NHL
Edmonton Oilers,Toronto Maple Leafs,2021-01-28,Planned,NHL
Dallas Stars,Detroit Red Wings,2021-01-28,Planned,NHL
Colorado Avalanche,San Jose Sharks,2021-01-28,Planned,NHL
Columbus Blue Jackets,Florida Panthers,2021-01-28,Planned,NHL
Carolina Hurricanes,Tampa Bay Lightning,2021-01-28,Planned,NHL
Boston Bruins,Pittsburgh Penguins,2021-01-28,Planned,NHL
Arizona Coyotes,Anaheim Ducks,2021-01-28,Planned,NHL
Montreal Canadiens,Calgary Flames,2021-01-28,Planned,NHL
Chicago Blackhawks,Columbus Blue Jackets,2021-01-29,Planned,NHL
Washington Capitals,Boston Bruins,2021-01-30,Planned,NHL
Winnipeg Jets,Vancouver Canucks,2021-01-30,Planned,NHL
New York Rangers,Pittsburgh Penguins,2021-01-30,Planned,NHL
Philadelphia Flyers,New York Islanders,2021-01-30,Planned,NHL
Edmonton Oilers,Toronto Maple Leafs,2021-01-30,Planned,NHL
Detroit Red Wings,Florida Panthers,2021-01-30,Planned,NHL
Carolina Hurricanes,Dallas Stars,2021-01-30,Planned,NHL
Buffalo Sabres,New Jersey Devils,2021-01-30,Planned,NHL
Anaheim Ducks,St. Louis Blues,2021-01-30,Planned,NHL
Minnesota Wild,Colorado Avalanche,2021-01-30,Planned,NHL
Tampa Bay Lightning,Nashville Predators,2021-01-30,Planned,NHL
Montreal Canadiens,Calgary Flames,2021-01-30,Planned,NHL
Detroit Red Wings,Florida Panthers,2021-01-31,Planned,NHL
Philadelphia Flyers,New York Islanders,2021-01-31,Planned,NHL
Chicago Blackhawks,Columbus Blue Jackets,2021-01-31,Planned,NHL
Carolina Hurricanes,Dallas Stars,2021-01-31,Planned,NHL
Buffalo Sabres,New Jersey Devils,2021-01-31,Planned,NHL
Anaheim Ducks,St. Louis Blues,2021-01-31,Planned,NHL
Edmonton Oilers,Ottawa Senators,2021-01-31,Planned,NHL
Minnesota Wild,Colorado Avalanche,2021-01-31,Planned,NHL
San Jose Sharks,Vegas Golden Knights,2021-02-01,Planned,NHL
Montreal Canadiens,Vancouver Canucks,2021-02-01,Planned,NHL
New York Rangers,Pittsburgh Penguins,2021-02-01,Planned,NHL
Tampa Bay Lightning,Nashville Predators,2021-02-01,Planned,NHL
Winnipeg Jets,Calgary Flames,2021-02-01,Planned,NHL
Washington Capitals,Boston Bruins,2021-02-01,Planned,NHL
Chicago Blackhawks,Carolina Hurricanes,2021-02-02,Planned,NHL
New York Islanders,Buffalo Sabres,2021-02-02,Planned,NHL
Pittsburgh Penguins,New Jersey Devils,2021-02-02,Planned,NHL
Colorado Avalanche,Minnesota Wild,2021-02-02,Planned,NHL
Edmonton Oilers,Ottawa Senators,2021-02-02,Planned,NHL
Winnipeg Jets,Calgary Flames,2021-02-02,Planned,NHL
St. Louis Blues,Arizona Coyotes,2021-02-02,Planned,NHL
Montreal Canadiens,Vancouver Canucks,2021-02-02,Planned,NHL
Los Angeles Kings,Anaheim Ducks,2021-02-02,Planned,NHL
Columbus Blue Jackets,Dallas Stars,2021-02-02,Planned,NHL
Tampa Bay Lightning,Detroit Red Wings,2021-02-03,Planned,NHL
Philadelphia Flyers,Boston Bruins,2021-02-03,Planned,NHL
Pittsburgh Penguins,New Jersey Devils,2021-02-04,Planned,NHL
Colorado Avalanche,Minnesota Wild,2021-02-04,Planned,NHL
New York Islanders,Buffalo Sabres,2021-02-04,Planned,NHL
Chicago Blackhawks,Carolina Hurricanes,2021-02-04,Planned,NHL
Winnipeg Jets,Calgary Flames,2021-02-04,Planned,NHL
Columbus Blue Jackets,Dallas Stars,2021-02-04,Planned,NHL
Florida Panthers,Nashville Predators,2021-02-04,Planned,NHL
Montreal Canadiens,Ottawa Senators,2021-02-04,Planned,NHL
New York Rangers,Washington Capitals,2021-02-04,Planned,NHL
St. Louis Blues,Arizona Coyotes,2021-02-04,Planned,NHL
Toronto Maple Leafs,Vancouver Canucks,2021-02-04,Planned,NHL
Tampa Bay Lightning,Detroit Red Wings,2021-02-05,Planned,NHL
Philadelphia Flyers,Boston Bruins,2021-02-05,Planned,NHL
Anaheim Ducks,San Jose Sharks,2021-02-05,Planned,NHL
Vegas Golden Knights,Los Angeles Kings,2021-02-05,Planned,NHL
Florida Panthers,Nashville Predators,2021-02-05,Planned,NHL
Minnesota Wild,Arizona Coyotes,2021-02-06,Planned,NHL
New York Islanders,Pittsburgh Penguins,2021-02-06,Planned,NHL
Ottawa Senators,Montreal Canadiens,2021-02-06,Planned,NHL
Anaheim Ducks,San Jose Sharks,2021-02-06,Planned,NHL
New Jersey Devils,New York Rangers,2021-02-06,Planned,NHL
St. Louis Blues,Arizona Coyotes,2021-02-06,Planned,NHL
Toronto Maple Leafs,Vancouver Canucks,2021-02-06,Planned,NHL
Calgary Flames,Edmonton Oilers,2021-02-06,Planned,NHL
Boston Bruins,Buffalo Sabres,2021-02-06,Planned,NHL
St. Louis Blues,Colorado Avalanche,2021-02-06,Planned,NHL
Dallas Stars,Chicago Blackhawks,2021-02-07,Planned,NHL
Florida Panthers,Detroit Red Wings,2021-02-07,Planned,NHL
Vegas Golden Knights,Los Angeles Kings,2021-02-07,Planned,NHL
Minnesota Wild,Arizona Coyotes,2021-02-07,Planned,NHL
Columbus Blue Jackets,Carolina Hurricanes,2021-02-07,Planned,NHL
Washington Capitals,Philadelphia Flyers,2021-02-07,Planned,NHL
Boston Bruins,Buffalo Sabres,2021-02-08,Planned,NHL
New York Rangers,New York Islanders,2021-02-08,Planned,NHL
Columbus Blue Jackets,Carolina Hurricanes,2021-02-08,Planned,NHL
Ottawa Senators,Edmonton Oilers,2021-02-08,Planned,NHL
St. Louis Blues,Arizona Coyotes,2021-02-08,Planned,NHL
Toronto Maple Leafs,Vancouver Canucks,2021-02-08,Planned,NHL
Nashville Predators,Tampa Bay Lightning,2021-02-08,Planned,NHL
Nashville Predators,Tampa Bay Lightning,2021-02-09,Planned,NHL
Calgary Flames,Winnipeg Jets,2021-02-09,Planned,NHL
Dallas Stars,Chicago Blackhawks,2021-02-09,Planned,NHL
Florida Panthers,Detroit Red Wings,2021-02-09,Planned,NHL
New Jersey Devils,Pittsburgh Penguins,2021-02-09,Planned,NHL
Los Angeles Kings,San Jose Sharks,2021-02-09,Planned,NHL
Vegas Golden Knights,Anaheim Ducks,2021-02-09,Planned,NHL
Ottawa Senators,Edmonton Oilers,2021-02-09,Planned,NHL
Washington Capitals,Philadelphia Flyers,2021-02-09,Planned,NHL
New York Rangers,Boston Bruins,2021-02-10,Planned,NHL
Montreal Canadiens,Toronto Maple Leafs,2021-02-10,Planned,NHL
Chicago Blackhawks,Columbus Blue Jackets,2021-02-11,Planned,NHL
Colorado Avalanche,Arizona Coyotes,2021-02-11,Planned,NHL
Minnesota Wild,St. Louis Blues,2021-02-11,Planned,NHL
Buffalo Sabres,Washington Capitals,2021-02-11,Planned,NHL
Los Angeles Kings,San Jose Sharks,2021-02-11,Planned,NHL
Montreal Canadiens,Edmonton Oilers,2021-02-11,Planned,NHL
Philadelphia Flyers,New Jersey Devils,2021-02-11,Planned,NHL
Nashville Predators,Detroit Red Wings,2021-02-11,Planned,NHL
New York Islanders,Pittsburgh Penguins,2021-02-11,Planned,NHL
Florida Panthers,Tampa Bay Lightning,2021-02-11,Planned,NHL
Vancouver Canucks,Calgary Flames,2021-02-11,Planned,NHL
Vegas Golden Knights,Anaheim Ducks,2021-02-11,Planned,NHL
Winnipeg Jets,Ottawa Senators,2021-02-11,Planned,NHL
Dallas Stars,Carolina Hurricanes,2021-02-11,Planned,NHL
Arizona Coyotes,St. Louis Blues,2021-02-12,Planned,NHL
New York Rangers,Boston Bruins,2021-02-12,Planned,NHL
Philadelphia Flyers,New Jersey Devils,2021-02-13,Planned,NHL
Los Angeles Kings,Minnesota Wild,2021-02-13,Planned,NHL
Winnipeg Jets,Ottawa Senators,2021-02-13,Planned,NHL
Dallas Stars,Carolina Hurricanes,2021-02-13,Planned,NHL
Florida Panthers,Tampa Bay Lightning,2021-02-13,Planned,NHL
Nashville Predators,Detroit Red Wings,2021-02-13,Planned,NHL
New York Islanders,Boston Bruins,2021-02-13,Planned,NHL
Toronto Maple Leafs,Montreal Canadiens,2021-02-13,Planned,NHL
Buffalo Sabres,Washington Capitals,2021-02-13,Planned,NHL
Vancouver Canucks,Calgary Flames,2021-02-13,Planned,NHL
Chicago Blackhawks,Columbus Blue Jackets,2021-02-13,Planned,NHL
Arizona Coyotes,St. Louis Blues,2021-02-13,Planned,NHL
New York Rangers,Philadelphia Flyers,2021-02-14,Planned,NHL
Vegas Golden Knights,Colorado Avalanche,2021-02-14,Planned,NHL
Pittsburgh Penguins,Washington Capitals,2021-02-14,Planned,NHL
Boston Bruins,New Jersey Devils,2021-02-15,Planned,NHL
Arizona Coyotes,St. Louis Blues,2021-02-15,Planned,NHL
Buffalo Sabres,New York Islanders,2021-02-15,Planned,NHL
Carolina Hurricanes,Columbus Blue Jackets,2021-02-15,Planned,NHL
Detroit Red Wings,Chicago Blackhawks,2021-02-15,Planned,NHL
Edmonton Oilers,Winnipeg Jets,2021-02-15,Planned,NHL
San Jose Sharks,Anaheim Ducks,2021-02-15,Planned,NHL
Tampa Bay Lightning,Florida Panthers,2021-02-15,Planned,NHL
Dallas Stars,Nashville Predators,2021-02-15,Planned,NHL
Toronto Maple Leafs,Ottawa Senators,2021-02-15,Planned,NHL
Vancouver Canucks,Calgary Flames,2021-02-15,Planned,NHL
Buffalo Sabres,New York Islanders,2021-02-16,Planned,NHL
Los Angeles Kings,Minnesota Wild,2021-02-16,Planned,NHL
Pittsburgh Penguins,Washington Capitals,2021-02-16,Planned,NHL
Dallas Stars,Nashville Predators,2021-02-16,Planned,NHL
Vegas Golden Knights,Colorado Avalanche,2021-02-16,Planned,NHL
Calgary Flames,Vancouver Canucks,2021-02-17,Planned,NHL
Detroit Red Wings,Chicago Blackhawks,2021-02-17,Planned,NHL
Edmonton Oilers,Winnipeg Jets,2021-02-17,Planned,NHL
Toronto Maple Leafs,Ottawa Senators,2021-02-17,Planned,NHL
Arizona Coyotes,Los Angeles Kings,2021-02-18,Planned,NHL
Dallas Stars,Tampa Bay Lightning,2021-02-18,Planned,NHL
Anaheim Ducks,Minnesota Wild,2021-02-18,Planned,NHL
Boston Bruins,New Jersey Devils,2021-02-18,Planned,NHL
Columbus Blue Jackets,Nashville Predators,2021-02-18,Planned,NHL
Philadelphia Flyers,New York Rangers,2021-02-18,Planned,NHL
Pittsburgh Penguins,New York Islanders,2021-02-18,Planned,NHL
St. Louis Blues,San Jose Sharks,2021-02-18,Planned,NHL
Toronto Maple Leafs,Ottawa Senators,2021-02-18,Planned,NHL
Vancouver Canucks,Winnipeg Jets,2021-02-19,Planned,NHL
Detroit Red Wings,Florida Panthers,2021-02-19,Planned,NHL
Carolina Hurricanes,Chicago Blackhawks,2021-02-19,Planned,NHL
Calgary Flames,Edmonton Oilers,2021-02-19,Planned,NHL
Columbus Blue Jackets,Nashville Predators,2021-02-20,Planned,NHL
Anaheim Ducks,Minnesota Wild,2021-02-20,Planned,NHL
Arizona Coyotes,Los Angeles Kings,2021-02-20,Planned,NHL
Carolina Hurricanes,Tampa Bay Lightning,2021-02-20,Planned,NHL
Dallas Stars,Tampa Bay Lightning,2021-02-20,Planned,NHL
Colorado Avalanche,Vegas Golden Knights,2021-02-20,Planned,NHL
Carolina Hurricanes,Chicago Blackhawks,2021-02-20,Planned,NHL
Edmonton Oilers,Calgary Flames,2021-02-20,Planned,NHL
Montreal Canadiens,Toronto Maple Leafs,2021-02-20,Planned,NHL
New Jersey Devils,Buffalo Sabres,2021-02-20,Planned,NHL
Pittsburgh Penguins,New York Islanders,2021-02-20,Planned,NHL
St. Louis Blues,San Jose Sharks,2021-02-20,Planned,NHL
Washington Capitals,New York Rangers,2021-02-20,Planned,NHL
Detroit Red Wings,Florida Panthers,2021-02-20,Planned,NHL
Ottawa Senators,Montreal Canadiens,2021-02-21,Planned,NHL
Boston Bruins,Philadelphia Flyers,2021-02-21,Planned,NHL
Vancouver Canucks,Winnipeg Jets,2021-02-21,Planned,NHL
Washington Capitals,New York Rangers,2021-02-21,Planned,NHL
Toronto Maple Leafs,Calgary Flames,2021-02-22,Planned,NHL
St. Louis Blues,Los Angeles Kings,2021-02-22,Planned,NHL
Arizona Coyotes,Anaheim Ducks,2021-02-22,Planned,NHL
