home,visitor,game_date,Schedule Type,League
New York Islanders,Boston Bruins,2021-01-18,Actual,NHL
Philadelphia Flyers,Buffalo Sabres,2021-01-18,Actual,NHL
St. Louis Blues,San Jose Sharks,2021-01-18,Actual,NHL
Toronto Maple Leafs,Winnipeg Jets,2021-01-18,Actual,NHL
Vegas Golden Knights,Arizona Coyotes,2021-01-18,Actual,NHL
Detroit Red Wings,Columbus Blue Jackets,2021-01-19,Actual,NHL
Florida Panthers,Chicago Blackhawks,2021-01-19,Actual,NHL
Los Angeles Kings,Colorado Avalanche,2021-01-19,Actual,NHL
New York Rangers,New Jersey Devils,2021-01-19,Actual,NHL
Ottawa Senators,Winnipeg Jets,2021-01-19,Actual,NHL
Philadelphia Flyers,Buffalo Sabres,2021-01-19,Actual,NHL
Pittsburgh Penguins,Washington Capitals,2021-01-19,Actual,NHL
Anaheim Ducks,Minnesota Wild,2021-01-20,Actual,NHL
St. Louis Blues,San Jose Sharks,2021-01-20,Actual,NHL
Toronto Maple Leafs,Edmonton Oilers,2021-01-20,Actual,NHL
Vancouver Canucks,Montreal Canadiens,2021-01-20,Actual,NHL
Vegas Golden Knights,Arizona Coyotes,2021-01-20,Actual,NHL
Boston Bruins,Philadelphia Flyers,2021-01-21,Actual,NHL
Columbus Blue Jackets,Tampa Bay Lightning,2021-01-21,Actual,NHL
Los Angeles Kings,Colorado Avalanche,2021-01-21,Actual,NHL
New York Islanders,New Jersey Devils,2021-01-21,Actual,NHL
Ottawa Senators,Winnipeg Jets,2021-01-21,Actual,NHL
Vancouver Canucks,Montreal Canadiens,2021-01-21,Actual,NHL
Anaheim Ducks,Colorado Avalanche,2021-01-22,Actual,NHL
Arizona Coyotes,Vegas Golden Knights,2021-01-22,Actual,NHL
Chicago Blackhawks,Detroit Red Wings,2021-01-22,Actual,NHL
Dallas Stars,Nashville Predators,2021-01-22,Actual,NHL
Minnesota Wild,San Jose Sharks,2021-01-22,Actual,NHL
Pittsburgh Penguins,New York Rangers,2021-01-22,Actual,NHL
Toronto Maple Leafs,Edmonton Oilers,2021-01-22,Actual,NHL
Washington Capitals,Buffalo Sabres,2021-01-22,Actual,NHL
Boston Bruins,Philadelphia Flyers,2021-01-23,Actual,NHL
Columbus Blue Jackets,Tampa Bay Lightning,2021-01-23,Actual,NHL
St. Louis Blues,Los Angeles Kings,2021-01-23,Actual,NHL
Vancouver Canucks,Montreal Canadiens,2021-01-23,Actual,NHL
Winnipeg Jets,Ottawa Senators,2021-01-23,Actual,NHL
Anaheim Ducks,Colorado Avalanche,2021-01-24,Actual,NHL
Arizona Coyotes,Vegas Golden Knights,2021-01-24,Actual,NHL
Calgary Flames,Toronto Maple Leafs,2021-01-24,Actual,NHL
Chicago Blackhawks,Detroit Red Wings,2021-01-24,Actual,NHL
Dallas Stars,Nashville Predators,2021-01-24,Actual,NHL
Minnesota Wild,San Jose Sharks,2021-01-24,Actual,NHL
New Jersey Devils,New York Islanders,2021-01-24,Actual,NHL
Pittsburgh Penguins,New York Rangers,2021-01-24,Actual,NHL
St. Louis Blues,Los Angeles Kings,2021-01-24,Actual,NHL
Winnipeg Jets,Edmonton Oilers,2021-01-24,Actual,NHL
Washington Capitals,Buffalo Sabres,2021-01-24,Actual,NHL
Vancouver Canucks,Ottawa Senators,2021-01-25,Actual,NHL
Arizona Coyotes,Anaheim Ducks,2021-01-26,Actual,NHL
Boston Bruins,Pittsburgh Penguins,2021-01-26,Actual,NHL
Buffalo Sabres,New York Rangers,2021-01-26,Actual,NHL
Columbus Blue Jackets,Florida Panthers,2021-01-26,Actual,NHL
Calgary Flames,Toronto Maple Leafs,2021-01-26,Actual,NHL
Colorado Avalanche,San Jose Sharks,2021-01-26,Actual,NHL
Dallas Stars,Detroit Red Wings,2021-01-26,Actual,NHL
Minnesota Wild,Los Angeles Kings,2021-01-26,Actual,NHL
New Jersey Devils,Philadelphia Flyers,2021-01-26,Actual,NHL
Nashville Predators,Chicago Blackhawks,2021-01-26,Actual,NHL
Vegas Golden Knights,St. Louis Blues,2021-01-26,Actual,NHL
Winnipeg Jets,Edmonton Oilers,2021-01-26,Actual,NHL
Washington Capitals,New York Islanders,2021-01-26,Actual,NHL
Nashville Predators,Chicago Blackhawks,2021-01-27,Actual,NHL
Vancouver Canucks,Ottawa Senators,2021-01-27,Actual,NHL
Arizona Coyotes,Anaheim Ducks,2021-01-28,Actual,NHL
Boston Bruins,Pittsburgh Penguins,2021-01-28,Actual,NHL
Buffalo Sabres,New York Rangers,2021-01-28,Actual,NHL
Carolina Hurricanes,Tampa Bay Lightning,2021-01-28,Actual,NHL
Columbus Blue Jackets,Florida Panthers,2021-01-28,Actual,NHL
Colorado Avalanche,San Jose Sharks,2021-01-28,Actual,NHL
Dallas Stars,Detroit Red Wings,2021-01-28,Actual,NHL
Edmonton Oilers,Toronto Maple Leafs,2021-01-28,Actual,NHL
Minnesota Wild,Los Angeles Kings,2021-01-28,Actual,NHL
Montreal Canadiens,Calgary Flames,2021-01-28,Actual,NHL
New Jersey Devils,Philadelphia Flyers,2021-01-28,Actual,NHL
Vancouver Canucks,Ottawa Senators,2021-01-28,Actual,NHL
Washington Capitals,New York Islanders,2021-01-28,Actual,NHL
Chicago Blackhawks,Columbus Blue Jackets,2021-01-29,Actual,NHL
Anaheim Ducks,St. Louis Blues,2021-01-30,Actual,NHL
Buffalo Sabres,New Jersey Devils,2021-01-30,Actual,NHL
Carolina Hurricanes,Dallas Stars,2021-01-30,Actual,NHL
Detroit Red Wings,Florida Panthers,2021-01-30,Actual,NHL
Edmonton Oilers,Toronto Maple Leafs,2021-01-30,Actual,NHL
Minnesota Wild,Colorado Avalanche,2021-01-30,Actual,NHL
Montreal Canadiens,Calgary Flames,2021-01-30,Actual,NHL
New York Rangers,Pittsburgh Penguins,2021-01-30,Actual,NHL
Philadelphia Flyers,New York Islanders,2021-01-30,Actual,NHL
Tampa Bay Lightning,Nashville Predators,2021-01-30,Actual,NHL
Winnipeg Jets,Vancouver Canucks,2021-01-30,Actual,NHL
Washington Capitals,Boston Bruins,2021-01-30,Actual,NHL
Anaheim Ducks,St. Louis Blues,2021-01-31,Actual,NHL
Buffalo Sabres,New Jersey Devils,2021-01-31,Actual,NHL
Carolina Hurricanes,Dallas Stars,2021-01-31,Actual,NHL
Chicago Blackhawks,Columbus Blue Jackets,2021-01-31,Actual,NHL
Detroit Red Wings,Florida Panthers,2021-01-31,Actual,NHL
Edmonton Oilers,Ottawa Senators,2021-01-31,Actual,NHL
Minnesota Wild,Colorado Avalanche,2021-01-31,Actual,NHL
Philadelphia Flyers,New York Islanders,2021-01-31,Actual,NHL
Montreal Canadiens,Vancouver Canucks,2021-02-01,Actual,NHL
New York Rangers,Pittsburgh Penguins,2021-02-01,Actual,NHL
Tampa Bay Lightning,Nashville Predators,2021-02-01,Actual,NHL
Winnipeg Jets,Calgary Flames,2021-02-01,Actual,NHL
Washington Capitals,Boston Bruins,2021-02-01,Actual,NHL
Columbus Blue Jackets,Dallas Stars,2021-02-02,Actual,NHL
Chicago Blackhawks,Carolina Hurricanes,2021-02-02,Actual,NHL
Colorado Avalanche,Minnesota Wild,2021-02-02,Actual,NHL
Edmonton Oilers,Ottawa Senators,2021-02-02,Actual,NHL
Los Angeles Kings,Anaheim Ducks,2021-02-02,Actual,NHL
Montreal Canadiens,Vancouver Canucks,2021-02-02,Actual,NHL
St. Louis Blues,Arizona Coyotes,2021-02-02,Actual,NHL
Winnipeg Jets,Calgary Flames,2021-02-02,Actual,NHL
Philadelphia Flyers,Boston Bruins,2021-02-03,Actual,NHL
Tampa Bay Lightning,Detroit Red Wings,2021-02-03,Actual,NHL
Columbus Blue Jackets,Dallas Stars,2021-02-04,Actual,NHL
Chicago Blackhawks,Carolina Hurricanes,2021-02-04,Actual,NHL
Florida Panthers,Nashville Predators,2021-02-04,Actual,NHL
Montreal Canadiens,Ottawa Senators,2021-02-04,Actual,NHL
New York Rangers,Washington Capitals,2021-02-04,Actual,NHL
St. Louis Blues,Arizona Coyotes,2021-02-04,Actual,NHL
Toronto Maple Leafs,Vancouver Canucks,2021-02-04,Actual,NHL
Winnipeg Jets,Calgary Flames,2021-02-04,Actual,NHL
Anaheim Ducks,San Jose Sharks,2021-02-05,Actual,NHL
Florida Panthers,Nashville Predators,2021-02-05,Actual,NHL
Philadelphia Flyers,Boston Bruins,2021-02-05,Actual,NHL
Tampa Bay Lightning,Detroit Red Wings,2021-02-05,Actual,NHL
Vegas Golden Knights,Los Angeles Kings,2021-02-05,Actual,NHL
Anaheim Ducks,San Jose Sharks,2021-02-06,Actual,NHL
Calgary Flames,Edmonton Oilers,2021-02-06,Actual,NHL
New York Islanders,Pittsburgh Penguins,2021-02-06,Actual,NHL
Ottawa Senators,Montreal Canadiens,2021-02-06,Actual,NHL
St. Louis Blues,Arizona Coyotes,2021-02-06,Actual,NHL
Toronto Maple Leafs,Vancouver Canucks,2021-02-06,Actual,NHL
Columbus Blue Jackets,Carolina Hurricanes,2021-02-07,Actual,NHL
Dallas Stars,Chicago Blackhawks,2021-02-07,Actual,NHL
Florida Panthers,Detroit Red Wings,2021-02-07,Actual,NHL
Vegas Golden Knights,Los Angeles Kings,2021-02-07,Actual,NHL
Washington Capitals,Philadelphia Flyers,2021-02-07,Actual,NHL
Columbus Blue Jackets,Carolina Hurricanes,2021-02-08,Actual,NHL
Nashville Predators,Tampa Bay Lightning,2021-02-08,Actual,NHL
New York Rangers,New York Islanders,2021-02-08,Actual,NHL
Ottawa Senators,Edmonton Oilers,2021-02-08,Actual,NHL
St. Louis Blues,Arizona Coyotes,2021-02-08,Actual,NHL
Toronto Maple Leafs,Vancouver Canucks,2021-02-08,Actual,NHL
Calgary Flames,Winnipeg Jets,2021-02-09,Actual,NHL
Dallas Stars,Chicago Blackhawks,2021-02-09,Actual,NHL
Florida Panthers,Detroit Red Wings,2021-02-09,Actual,NHL
Los Angeles Kings,San Jose Sharks,2021-02-09,Actual,NHL
Nashville Predators,Tampa Bay Lightning,2021-02-09,Actual,NHL
Ottawa Senators,Edmonton Oilers,2021-02-09,Actual,NHL
Vegas Golden Knights,Anaheim Ducks,2021-02-09,Actual,NHL
Montreal Canadiens,Toronto Maple Leafs,2021-02-10,Actual,NHL
New York Rangers,Boston Bruins,2021-02-10,Actual,NHL
Chicago Blackhawks,Columbus Blue Jackets,2021-02-11,Actual,NHL
Dallas Stars,Carolina Hurricanes,2021-02-11,Actual,NHL
Florida Panthers,Tampa Bay Lightning,2021-02-11,Actual,NHL
Los Angeles Kings,San Jose Sharks,2021-02-11,Actual,NHL
Montreal Canadiens,Edmonton Oilers,2021-02-11,Actual,NHL
Nashville Predators,Detroit Red Wings,2021-02-11,Actual,NHL
New York Islanders,Pittsburgh Penguins,2021-02-11,Actual,NHL
Vancouver Canucks,Calgary Flames,2021-02-11,Actual,NHL
Vegas Golden Knights,Anaheim Ducks,2021-02-11,Actual,NHL
Winnipeg Jets,Ottawa Senators,2021-02-11,Actual,NHL
Arizona Coyotes,St. Louis Blues,2021-02-12,Actual,NHL
New York Rangers,Boston Bruins,2021-02-12,Actual,NHL
Arizona Coyotes,St. Louis Blues,2021-02-13,Actual,NHL
Chicago Blackhawks,Columbus Blue Jackets,2021-02-13,Actual,NHL
Dallas Stars,Carolina Hurricanes,2021-02-13,Actual,NHL
